scenario,line,max_utilisation_pct,mean_utilisation_pct,hours_above_threshold,congestion_severity_pct_hours,peak_abs_flow_mw,flow_mwh_during_congested_hours,bottleneck_rank_score
bess_noord_holland,Utrecht__Gelderland,100.0,50.90154801160194,29,265.4931373247714,650.0,18690.705392611017,285.6338427173824
bess_noord_holland,Noord-Holland__Zuid-Holland,100.0,42.23851575690545,26,206.5586606029015,1200.0,30558.70392723482,238.41736453013635
bess_noord_holland,Zuid-Holland__Utrecht,100.0,50.00300762585736,25,215.27846476453684,850.0,20954.866950498566,237.4833317150354
bess_noord_holland,Noord-Holland__Flevoland,100.0,44.04907263205738,19,177.99215618153016,650.0,12271.949015179945,191.2141051967101
bess_noord_holland,Friesland__Flevoland,100.0,44.47080551500641,16,133.59081037603104,450.0,7081.158646692139,141.4719690227232
bess_noord_holland,Noord-Holland__Friesland,100.0,35.9470740526658,7,48.949340049780574,850.0,5771.069390423135,55.07040944020371
combined_bess_and_flex,Flevoland__Overijssel,100.0,79.12442398193983,102,994.114540798049,420.0,42731.28107135181,1041.9458218694008
combined_bess_and_flex,Gelderland__Overijssel,100.0,77.25151584687167,92,890.783791858509,600.0,55024.70275115105,950.40849460966
combined_bess_and_flex,Noord-Brabant__Limburg,100.0,73.48237153199118,86,843.6637358612887,620.0,53218.71516233999,901.1824510236287
combined_bess_and_flex,Noord-Brabant__Zeeland,100.0,75.4096601965805,85,819.1779796104647,520.0,44039.725493974416,867.4677051044391
combined_bess_and_flex,Gelderland__Limburg,100.0,71.3442449247443,78,727.4825088147222,500.0,38737.41254407361,770.1199213587959
combined_bess_and_flex,Overijssel__Drenthe,100.0,60.79163642439252,61,580.2894379439792,450.0,27316.302470747905,610.6557404147271
combined_bess_and_flex,Utrecht__Noord-Brabant,100.0,58.96184377234602,54,492.5440120577607,750.0,40144.0800904332,535.3880921481939
combined_bess_and_flex,Drenthe__Groningen,100.0,57.2601365677569,48,452.55701040737125,420.0,20044.73944371096,475.0017498510822
combined_bess_and_flex,Friesland__Groningen,100.0,59.76562952720984,50,417.0406699249006,500.0,24585.203349624506,444.12587327452513
combined_bess_and_flex,Zuid-Holland__Zeeland,100.0,50.60565651466128,37,356.0073878862987,700.0,25802.051715204092,383.6594396015028
combined_bess_and_flex,Noord-Holland__Flevoland,100.0,51.243225874000125,32,295.9715095933944,650.0,20643.814812357065,318.21532440575146
combined_bess_and_flex,Utrecht__Gelderland,100.0,52.413402246649454,29,263.0667598520634,650.0,18674.933939038412,283.1916937911018
combined_bess_and_flex,Friesland__Flevoland,100.0,49.23209797921717,24,228.37340888296143,450.0,10747.680339973325,240.32108922293475
combined_bess_and_flex,Zuid-Holland__Utrecht,100.0,47.507755943464424,21,170.36356118326393,850.0,17513.090270057743,188.92665145332168
combined_bess_and_flex,Noord-Holland__Utrecht,100.0,44.954101686073535,14,131.1109310116781,900.0,12519.998379105104,144.33092939078318
combined_bess_and_flex,Noord-Holland__Zuid-Holland,100.0,38.62252057756549,17,122.71381957014671,1200.0,19832.56583484176,143.39638540498845
combined_bess_and_flex,Noord-Holland__Friesland,100.0,37.76010192898482,9,66.2355180870563,850.0,7448.001903739978,74.13351999079629
flexible_connection_contract,Flevoland__Overijssel,100.0,80.89037358675746,112,1067.96399098771,420.0,46821.448762148386,1120.3854397498583
